facility,model,featuregroup,top5_features,trainset,testset,trainacc,testacc,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
Kitatumba,RandomForest,"Voltage, Frequency, Mean threshold, TS and HMM","Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), HMM_State_Frequency 6EF39700 (Hgr Kitatumba - Labo)_2, HMM_State_Frequency D2B9CB2E (Hgr Kitatumba - Mdh office)_0, HMM_State_Frequency 6EF39700 (Hgr Kitatumba - Labo)_0, Frequency 6EF39700 (Hgr Kitatumba - Labo)",12096,8064,1.0,1.0,1.0,1.0,1.0,2088,2088,0.0
Kitatumba,XGBoost,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency 6EF39700 (Hgr Kitatumba - Labo)_2, HMM_State_Frequency D2B9CB2E (Hgr Kitatumba - Mdh office)_0, Voltage 6EF39700 (Hgr Kitatumba - Labo), Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Freq_delta_clinique",12096,8064,1.0,1.0,1.0,1.0,1.0,2088,2088,0.0
Kitatumba,XGBoost-tuned,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency 6EF39700 (Hgr Kitatumba - Labo)_2, HMM_State_Frequency 6EF39700 (Hgr Kitatumba - Labo)_0, Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), HMM_State_Frequency D2B9CB2E (Hgr Kitatumba - Mdh office)_0, volt_in_range_lab",12096,8064,1.0,1.0,1.0,1.0,1.0,2088,2088,0.0
Katwa,LogisticRegression,Voltage and Frequency Only,"Voltage AEBA416D (Hgr Katwa - Cabine), Voltage 1C712FB8 (Hgr Katwa - Labo), Frequency 1C712FB8 (Hgr Katwa - Labo), Frequency AEBA416D (Hgr Katwa - Cabine)",12096,8064,0.8522652116402116,0.8918650793650794,0.4,0.006904487917146145,0.013574660633484163,869,15,-98.27387802071347
Katwa,RandomForest,Voltage and Frequency Only,"Frequency AEBA416D (Hgr Katwa - Cabine), Frequency 1C712FB8 (Hgr Katwa - Labo), Voltage AEBA416D (Hgr Katwa - Cabine), Voltage 1C712FB8 (Hgr Katwa - Labo)",12096,8064,0.9918981481481481,0.9494047619047619,0.7209971236816874,0.8653624856156502,0.7866108786610879,869,1043,20.02301495972382
Katwa,XGBoost,Voltage and Frequency Only,"Frequency AEBA416D (Hgr Katwa - Cabine), Frequency 1C712FB8 (Hgr Katwa - Labo), Voltage AEBA416D (Hgr Katwa - Cabine), Voltage 1C712FB8 (Hgr Katwa - Labo)",12096,8064,0.9749503968253969,0.9523809523809523,0.7389162561576355,0.8630609896432682,0.7961783439490446,869,1015,16.800920598388952
Katwa,XGBoost-tuned,Voltage and Frequency Only,"Frequency 1C712FB8 (Hgr Katwa - Labo), Frequency AEBA416D (Hgr Katwa - Cabine), Voltage AEBA416D (Hgr Katwa - Cabine), Voltage 1C712FB8 (Hgr Katwa - Labo)",12096,8064,0.9587466931216931,0.9579613095238095,0.7766179540709812,0.856156501726122,0.8144499178981938,869,958,10.241657077100115
Katwa,LogisticRegression,"Voltage, Frequency and Mean Threshold","higher_freq_lab, higher_volt_lab, higher_volt_clinique, higher_freq_clinique, Voltage AEBA416D (Hgr Katwa - Cabine)",12096,8064,0.855406746031746,0.8919890873015873,0.4166666666666667,0.005753739930955121,0.011350737797956867,869,12,-98.61910241657077
Katwa,RandomForest,"Voltage, Frequency and Mean Threshold","Frequency AEBA416D (Hgr Katwa - Cabine), Frequency 1C712FB8 (Hgr Katwa - Labo), Voltage AEBA416D (Hgr Katwa - Cabine), Voltage 1C712FB8 (Hgr Katwa - Labo), higher_volt_lab",12096,8064,0.9918981481481481,0.9487847222222222,0.7217898832684825,0.85385500575374,0.7822878228782287,869,1028,18.296892980437285
Katwa,XGBoost,"Voltage, Frequency and Mean Threshold","Frequency AEBA416D (Hgr Katwa - Cabine), Frequency 1C712FB8 (Hgr Katwa - Labo), Voltage AEBA416D (Hgr Katwa - Cabine), Voltage 1C712FB8 (Hgr Katwa - Labo), higher_volt_clinique",12096,8064,0.9749503968253969,0.9523809523809523,0.7389162561576355,0.8630609896432682,0.7961783439490446,869,1015,16.800920598388952
Katwa,XGBoost-tuned,"Voltage, Frequency and Mean Threshold","higher_volt_clinique, Frequency AEBA416D (Hgr Katwa - Cabine), Frequency 1C712FB8 (Hgr Katwa - Labo), Voltage AEBA416D (Hgr Katwa - Cabine), Voltage 1C712FB8 (Hgr Katwa - Labo)",12096,8064,0.9571759259259259,0.9577132936507936,0.7744282744282744,0.857307249712313,0.8137629710540688,869,962,10.701956271576524
Katwa,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series","Prev_High_delta_freq_lab, High_delta_freq_lab, Hour_7, Hour_23, Hour_22",12096,8064,0.8719411375661376,0.8902529761904762,0.38571428571428573,0.031070195627157654,0.05750798722044728,869,70,-91.94476409666284
Katwa,RandomForest,"Voltage, Frequency, Mean Threshold and Time Series","Frequency AEBA416D (Hgr Katwa - Cabine), Frequency 1C712FB8 (Hgr Katwa - Labo), Voltage AEBA416D (Hgr Katwa - Cabine), Voltage 1C712FB8 (Hgr Katwa - Labo), Freq_delta_clinique",12096,8064,0.999917328042328,0.9689980158730159,0.8289054197662061,0.8975834292289988,0.861878453038674,869,941,8.285385500575375
Katwa,XGBoost,"Voltage, Frequency, Mean Threshold and Time Series","Frequency AEBA416D (Hgr Katwa - Cabine), Frequency 1C712FB8 (Hgr Katwa - Labo), Hour_22, Voltage AEBA416D (Hgr Katwa - Cabine), Hour_18",12096,8064,0.9957010582010583,0.9662698412698413,0.8030456852791878,0.9102416570771001,0.8532901833872708,869,985,13.34867663981588
Katwa,XGBoost-tuned,"Voltage, Frequency, Mean Threshold and Time Series","Frequency 1C712FB8 (Hgr Katwa - Labo), Frequency AEBA416D (Hgr Katwa - Cabine), Voltage AEBA416D (Hgr Katwa - Cabine), higher_volt_lab, higher_volt_clinique",12096,8064,0.9799107142857143,0.9652777777777778,0.8077324973876698,0.8895281933256617,0.8466593647316539,869,957,10.126582278481013
Katwa,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM","Hour_23, Hour_22, HMM_State_Frequency AEBA416D (Hgr Katwa - Cabine)_2, HMM_State_Frequency AEBA416D (Hgr Katwa - Cabine)_0, HMM_State_Frequency 1C712FB8 (Hgr Katwa - Labo)_3",12096,8064,0.9691633597883598,0.9688740079365079,0.8696172248803827,0.8365937859608745,0.8527859237536657,869,836,-3.7974683544303796
Katwa,RandomForest,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency AEBA416D (Hgr Katwa - Cabine)_0, HMM_State_Frequency AEBA416D (Hgr Katwa - Cabine)_2, HMM_State_Frequency 1C712FB8 (Hgr Katwa - Labo)_3, HMM_State_Frequency 1C712FB8 (Hgr Katwa - Labo)_0, Frequency AEBA416D (Hgr Katwa - Cabine)",12096,8064,0.999917328042328,0.9759424603174603,0.8874856486796785,0.8895281933256617,0.8885057471264368,869,871,0.23014959723820483
Katwa,XGBoost,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency AEBA416D (Hgr Katwa - Cabine)_2, HMM_State_Frequency 1C712FB8 (Hgr Katwa - Labo)_0, HMM_State_Frequency 1C712FB8 (Hgr Katwa - Labo)_3, Hour_3, Hour_20",12096,8064,0.9976025132275133,0.970734126984127,0.8252826310380267,0.9240506329113924,0.8718783930510315,869,973,11.967779056386652
Katwa,XGBoost-tuned,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency AEBA416D (Hgr Katwa - Cabine)_0, HMM_State_Frequency AEBA416D (Hgr Katwa - Cabine)_2, HMM_State_Frequency 1C712FB8 (Hgr Katwa - Labo)_3, HMM_State_Frequency 1C712FB8 (Hgr Katwa - Labo)_0, higher_volt_clinique",12096,8064,0.984540343915344,0.9712301587301587,0.8450704225352113,0.8975834292289988,0.8705357142857143,869,923,6.214039125431531
